SKU;Produto;EAN;EH 1º Nível;Preço (R$);EH 3º Nível;EH 2º Nível;Estoque;Ruptura (R$)
40009;*PIZZA GOURMET 380G S/LACT *CALABRESA;7898956732037;PERECIVEIS;25.90;CONGELADOS;P.A.S.;1.000;25.90
1733;FARINHA TRIGO SANANDUVA 1KG;7896659600028;MERCEARIA;4.99;GRAOS E FARINACEOS;SECA COMMODITIES;5.000;24.95
105908;BISC GERMANI 345G MARIA;7898045273496;MERCEARIA;6.19;BISCOITOS;SECA DOCE;4.000;24.76
35925;LEITE COND PIRACANJUBA 395G T PACK;7898215152002;MERCEARIA;5.99;DERIVADO LEITE ACHOC;SECA DOCE;4.000;23.96
69593;REFRESCO CLIGHT 8G ZR ACUC ABACAXI;7622210696373;MERCEARIA;1.99;NAO ALCOOLICOS;LIQUIDA;12.000;23.88
72884;BOLINHO BAUDUCCO 34G ROLL CHOC;7891962051574;MERCEARIA;1.59;BOLOS INDUSTRIALIZADOS;SECA DOCE;13.000;20.67
104986;REFRIG ANTARCTICA 310ML GUAR;7891991298650;MERCEARIA;2.39;REFRIGERANTES;LIQUIDA;8.000;19.12
13645;PIZZA SEARA 460G FGO/CATUPIRY;7894904325702;PERECIVEIS;18.59;CONGELADOS;P.A.S.;1.000;18.59
88403;QUEIJO RAL TUPY 50G;7898365030014;MERCEARIA;4.60;QUEIJO;SECA SALGADA;4.000;18.40
79161;*BICO NEOPAN N2 C2 UNIDADES;7896036512746;MERCEARIA;17.99;PUERICULTURA;PERFUMARIA;1.000;17.99
80014;COENTRO GAUER TEMPEROS 18G;7898960551082;PERECIVEIS;5.79;FOLHAGENS E PROCESS;FLV;3.000;17.37
70675;SALVIA GAUER TEMPEROS 18G;7898960551044;PERECIVEIS;5.79;FOLHAGENS E PROCESS;FLV;3.000;17.37
78346;CALZONE DEGLI AMICI 400G CONG CALABRESA;7896691701271;PERECIVEIS;15.99;CONGELADOS;P.A.S.;1.000;15.99
70593;AMACIANTE DOWNY 1L CONC LIRIOS CAMPO;7506339389876;MERCEARIA;15.99;LIMPEZA ROUPA;LIMPEZA E DESCARTAVEIS;1.000;15.99
